queueing.simulacion(5,5,50,[1,3,5,7,9],[2,4,6,8,10])


			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
      31            114.46              0.44687            0.066652              2.403             2.8499          117.31             2                 54.703      
      32            120.84              0.11866              6.3847                  0            0.11866          120.96             0                 58.238      
      33            130.91              0.13012              10.067                  0            0.13012          131.04             0                 68.186      
      34             135.8            0.0061011              4.8879                  0          0.0061011           135.8             0                 72.944      
      35            139.09               3.8843              3.2954                  0             3.8843          142.98             0                 76.233      
      36            149.29               2.8115              10.204                  0             2.8115          152.11             0                 82.553      
      37            156.25              0.63641              6.9524                  0            0.63641          156.88             0                 86.694      
      38            161.58               2.9802              5.3307                  0             2.9802          164.56             0                 91.388      
      39            162.66               4.3371              1.0833              1.897             6.2341           168.9             1                 91.388      
      40             165.4              0.53383              2.7423             3.4918             4.0256          169.43             1                 91.388      
      41            167.09               1.8871              1.6897             2.3359              4.223          171.32             2                 91.388      
      42            172.92                1.836              5.8229                  0              1.836          174.75             0                 92.988      
      43            175.32               2.3103              2.4027                  0             2.3103          177.63             0                 93.554      
      44            179.18               2.6206                3.86                  0             2.6206           181.8             0                 95.104      
      45            192.44               1.3309              13.259                  0             1.3309          193.77             0                 105.74      
      46            193.43               4.4728             0.99428            0.33659             4.8094          198.24             1                 105.74      
      47            194.24              0.26937             0.81279             3.9966              4.266          198.51             1                 105.74      
      48            197.53               3.1511              3.2841            0.98192              4.133          201.66             2                 105.74      
      49             207.2               3.3543              9.6734                  0             3.3543          210.56             0                 111.28      
      50            209.04               1.6576              1.8374             1.5169             3.1745          212.21             1                 111.28      



			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
    ______    __________________    ______________    ___________________    ____________    _______________    ____________    ______________    __________________

       1                 0               3.9548                   0                   0           3.9548           3.9548             0                      0      
